Name  ,Platform ,Year   ,Genre ,Publisher ,NA_Sales ,EU_Sales ,JP_Sales ,Other_Sales ,Global_Sales ,Market_Performance
10849 ,      26 ,2006.0 ,   10 ,      359 ,   41.49 ,   29.02 ,    3.77 ,       8.46 ,       82.74 ,Bestseller
 9201 ,      11 ,1985.0 ,    4 ,      359 ,   29.08 ,    3.58 ,    6.81 ,       0.77 ,       40.24 ,Bestseller
 5493 ,      26 ,2008.0 ,    6 ,      359 ,   15.85 ,   12.88 ,    3.79 ,       3.31 ,       35.82 ,Bestseller
10851 ,      26 ,2009.0 ,   10 ,      359 ,   15.75 ,   11.01 ,    3.28 ,       2.96 ,       33.0  ,Bestseller
 7247 ,       5 ,1996.0 ,    7 ,      359 ,   11.27 ,    8.89 ,   10.22 ,       1.0  ,       31.37 ,Bestseller
 9581 ,       5 ,1989.0 ,    5 ,      359 ,   23.2  ,    2.26 ,    4.22 ,       0.58 ,       30.26 ,Bestseller
 6632 ,       4 ,2006.0 ,    4 ,      359 ,   11.38 ,    9.23 ,    6.5  ,       2.9  ,       30.01 ,Bestseller
10847 ,      26 ,2006.0 ,    3 ,      359 ,   14.03 ,    9.2  ,    2.93 ,       2.85 ,       29.02 ,Bestseller
 6635 ,      26 ,2009.0 ,    4 ,      359 ,   14.59 ,    7.06 ,    4.7  ,       2.26 ,       28.62 ,Bestseller
 2541 ,      11 ,1984.0 ,    8 ,      359 ,   26.93 ,    0.63 ,    0.28 ,       0.47 ,       28.31 ,Bestseller
 6698 ,       4 ,2005.0 ,    9 ,      359 ,    9.07 ,   11.0  ,    1.93 ,       2.75 ,       24.76 ,Bestseller
 5492 ,       4 ,2005.0 ,    6 ,      359 ,    9.81 ,    7.57 ,    4.13 ,       1.92 ,       23.42 ,Bestseller
 7234 ,       5 ,1999.0 ,    7 ,      359 ,    9.0  ,    6.18 ,    7.2  ,       0.71 ,       23.1  ,Bestseller
10841 ,      26 ,2007.0 ,   10 ,      359 ,    8.94 ,    8.03 ,    3.6  ,       2.15 ,       22.72 ,Bestseller
10842 ,      26 ,2009.0 ,   10 ,      359 ,    9.09 ,    8.59 ,    2.53 ,       1.79 ,       22.0  ,Bestseller
 4841 ,      28 ,2010.0 ,    3 ,      323 ,   14.97 ,    4.94 ,    0.24 ,       1.67 ,       21.82 ,Bestseller
 3650 ,      17 ,2013.0 ,    0 ,      493 ,    7.01 ,    9.27 ,    0.97 ,       4.14 ,       21.4  ,Bestseller
 3654 ,      16 ,2004.0 ,    0 ,      493 ,    9.43 ,    0.4  ,    0.41 ,      10.57 ,       20.81 ,Bestseller
 9215 ,      23 ,1990.0 ,    4 ,      359 ,   12.78 ,    3.75 ,    3.54 ,       0.55 ,       20.61 ,Bestseller
  989 ,       4 ,2005.0 ,    3 ,      359 ,    4.75 ,    9.26 ,    4.16 ,       2.05 ,       20.22 ,Bestseller
 7232 ,       4 ,2006.0 ,    7 ,      359 ,    6.42 ,    4.52 ,    6.04 ,       1.37 ,       18.36 ,Bestseller
 9208 ,       5 ,1989.0 ,    4 ,      359 ,   10.83 ,    2.71 ,    4.18 ,       0.42 ,       18.14 ,Bestseller
 9203 ,      11 ,1988.0 ,    4 ,      359 ,    9.54 ,    3.44 ,    3.84 ,       0.46 ,       17.28 ,Bestseller
